data_type,model,backend,walltime_median,opt_time_median,overhead_median,mean_logl,n_runs,opt_speedup_vs_1core,opt_speedup_vs_cpu48,opt_speedup_vs_P5
AA,LG,GPU_P1_FIX,15.0,12.1,2.88,-86328064.41,100,20.44,1.12,1.27
AA,LG,GPU_P5,18.29,15.4,2.86,-86324112.64,99,16.06,0.88,1.0
AA,LG,OMP_10,38.56,37.32,1.28,-86328013.8,100,6.63,0.36,0.41
AA,LG,OMP_48,15.02,13.59,1.39,-86328013.8,100,18.2,1.0,1.13
AA,LG,VANILA,250.29,247.28,2.99,-89703067.78,20,1.0,0.05,0.06
DNA,GTR,GPU_P1_FIX,20.53,17.6,2.83,-66557577.94,80,6.78,0.77,1.18
DNA,GTR,GPU_P5,23.62,20.81,2.8,-66557528.13,80,5.73,0.65,1.0
DNA,GTR,OMP_10,34.24,33.17,1.08,-67437010.89,100,3.6,0.41,0.63
DNA,GTR,OMP_48,15.05,13.61,1.1,-67437010.89,100,8.76,1.0,1.53
DNA,GTR,VANILA,122.0,119.26,2.69,-66533394.68,40,1.0,0.11,0.17
