data_type,tree_type,model,n_trees,n_ll_exact (<0.01),n_ll_close (<1.0),max |LL diff|,mean LL diff,n_no_underflow,n_no_nan_rates,STATUS
AA,rooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+C60,10,0,0,53.4593,-38.26702,10,10,❌ FAIL
AA,rooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+R4,10,3,9,1.5164,-0.2512,10,10,❌ FAIL
AA,unrooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+C60,10,0,0,48.5595,-34.28494,10,10,❌ FAIL
AA,unrooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+R4,10,1,7,1.7632,-0.67094,10,10,❌ FAIL
DNA,rooted,GTR,10,10,10,0.0005,8e-05,10,10,✅ PASS
DNA,rooted,GTR+G4,10,10,10,0.0009,0.00011,10,10,✅ PASS
DNA,rooted,GTR+I,10,10,10,0.0033,-0.00067,10,10,✅ PASS
DNA,rooted,GTR+I+G4,10,9,10,0.0662,0.0068,10,10,❌ FAIL
DNA,rooted,GTR+R4,10,4,9,1.4024,-0.24573,10,10,❌ FAIL
DNA,unrooted,GTR,10,10,10,0.0026,-0.0002,10,10,✅ PASS
DNA,unrooted,GTR+G4,10,10,10,0.0,0.0,10,10,✅ PASS
DNA,unrooted,GTR+I,10,10,10,0.0001,1e-05,10,10,✅ PASS
DNA,unrooted,GTR+I+G4,10,10,10,0.0048,0.00025,10,10,✅ PASS
DNA,unrooted,GTR+R4,10,5,9,3.8257,-0.52892,10,10,❌ FAIL
