data_type,tree_type,model,tree,backend,run,filename,walltime,cputime,log_likelihood,tree_length,opt_time,opt_rounds,first_eval_sec,overhead
AA,unrooted,LG,tree_1,VANILA,8,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run8_tree_1_1000000_aa_iqtree.log,291.329,284.498,-88901422.374,19.949,288.311,1,,3.018000000000029
AA,unrooted,LG,tree_1,VANILA,6,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run6_tree_1_1000000_aa_iqtree.log,284.223,277.14,-88901422.374,19.949,281.315,1,,2.9080000000000155
AA,unrooted,LG,tree_1,OMP_48,1,output_banchmark_bl_estimation_AA_LG_OMP_48_run1_tree_1_1000000_iqtree3_aa.log,14.57,583.705,-88901422.374,19.949,13.352,1,,1.218
AA,unrooted,LG,tree_1,OMP_10,3,output_banchmark_bl_estimation_AA_LG_OMP_10_run3_tree_1_1000000_iqtree3_aa.log,38.37,365.734,-88901422.374,19.949,37.111,1,,1.2590000000000003
AA,unrooted,LG,tree_1,OMP_48,6,output_banchmark_bl_estimation_AA_LG_OMP_48_run6_tree_1_1000000_iqtree3_aa.log,20.414,663.648,-88901422.374,19.949,18.994,1,,1.4200000000000017
AA,unrooted,LG,tree_1,OMP_10,4,output_banchmark_bl_estimation_AA_LG_OMP_10_run4_tree_1_1000000_iqtree3_aa.log,39.417,376.06,-88901422.374,19.949,38.114,1,,1.3030000000000044
AA,unrooted,LG,tree_1,VANILA,5,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run5_tree_1_1000000_aa_iqtree.log,286.372,279.244,-88901422.374,19.949,283.427,1,,2.944999999999993
AA,unrooted,LG,tree_1,OMP_48,9,output_banchmark_bl_estimation_AA_LG_OMP_48_run9_tree_1_1000000_iqtree3_aa.log,15.165,591.63,-88901422.374,19.949,13.942,1,,1.222999999999999
AA,unrooted,LG,tree_1,OMP_10,10,output_banchmark_bl_estimation_AA_LG_OMP_10_run10_tree_1_1000000_iqtree3_aa.log,38.403,365.935,-88901422.374,19.949,37.144,1,,1.2590000000000003
AA,unrooted,LG,tree_1,OMP_10,2,output_banchmark_bl_estimation_AA_LG_OMP_10_run2_tree_1_1000000_iqtree3_aa.log,67.275,428.673,-88901422.374,19.949,65.192,1,,2.0830000000000126
AA,unrooted,LG,tree_1,VANILA,3,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run3_tree_1_1000000_aa_iqtree.log,281.718,274.894,-88901422.374,19.949,278.752,1,,2.966000000000008
AA,unrooted,LG,tree_1,OMP_48,8,output_banchmark_bl_estimation_AA_LG_OMP_48_run8_tree_1_1000000_iqtree3_aa.log,14.853,603.176,-88901422.374,19.949,13.492,1,,1.3609999999999989
AA,unrooted,LG,tree_1,OMP_10,5,output_banchmark_bl_estimation_AA_LG_OMP_10_run5_tree_1_1000000_iqtree3_aa.log,38.656,350.381,-88901422.374,19.949,37.327,1,,1.3290000000000006
AA,unrooted,LG,tree_1,OMP_48,7,output_banchmark_bl_estimation_AA_LG_OMP_48_run7_tree_1_1000000_iqtree3_aa.log,15.413,626.363,-88901422.374,19.949,13.978,1,,1.4350000000000005
AA,unrooted,LG,tree_1,OMP_48,10,output_banchmark_bl_estimation_AA_LG_OMP_48_run10_tree_1_1000000_iqtree3_aa.log,14.285,588.005,-88901422.374,19.949,12.916,1,,1.3689999999999998
AA,unrooted,LG,tree_1,VANILA,1,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run1_tree_1_1000000_aa_iqtree.log,276.523,269.771,-88901422.374,19.949,273.691,1,,2.8320000000000505
AA,unrooted,LG,tree_1,OMP_10,6,output_banchmark_bl_estimation_AA_LG_OMP_10_run6_tree_1_1000000_iqtree3_aa.log,37.493,345.833,-88901422.374,19.949,36.24,1,,1.2530000000000001
AA,unrooted,LG,tree_1,OMP_48,4,output_banchmark_bl_estimation_AA_LG_OMP_48_run4_tree_1_1000000_iqtree3_aa.log,16.217,577.638,-88901422.374,19.949,13.184,1,,3.0329999999999995
AA,unrooted,LG,tree_1,OMP_10,9,output_banchmark_bl_estimation_AA_LG_OMP_10_run9_tree_1_1000000_iqtree3_aa.log,38.319,365.443,-88901422.374,19.949,37.09,1,,1.2289999999999992
AA,unrooted,LG,tree_1,OMP_10,1,output_banchmark_bl_estimation_AA_LG_OMP_10_run1_tree_1_1000000_iqtree3_aa.log,38.61,368.619,-88901422.374,19.949,37.367,1,,1.243000000000002
AA,unrooted,LG,tree_1,OMP_48,3,output_banchmark_bl_estimation_AA_LG_OMP_48_run3_tree_1_1000000_iqtree3_aa.log,14.121,578.844,-88901422.374,19.949,12.678,1,,1.4429999999999996
AA,unrooted,LG,tree_1,VANILA,2,output_banchmark_bl_estimation_AA_LG_VANILA_run1_tree_1_1000000_iqtree3_VANILA_run2_tree_1_1000000_aa_iqtree.log,284.46,277.61,-88901422.374,19.949,281.471,1,,2.988999999999976
